lam,r,g,b,a,c,l
509,0.000E+00,1.360E-01,3.997E-03,2.183E-02,1.158E-01,1.437E-01
510,0.000E+00,1.428E-01,3.709E-03,2.299E-02,1.073E-01,1.513E-01
511,0.000E+00,1.492E-01,3.445E-03,2.417E-02,9.933E-02,1.588E-01
512,0.000E+00,1.553E-01,3.208E-03,2.538E-02,9.178E-02,1.661E-01
513,0.000E+00,1.610E-01,3.005E-03,2.661E-02,8.470E-02,1.732E-01
514,0.000E+00,1.662E-01,2.845E-03,2.788E-02,7.812E-02,1.802E-01
515,0.000E+00,1.708E-01,2.711E-03,2.917E-02,7.200E-02,1.869E-01
516,0.000E+00,1.749E-01,2.599E-03,3.048E-02,6.632E-02,1.934E-01
517,0.000E+00,1.783E-01,2.502E-03,3.180E-02,6.109E-02,1.997E-01
518,0.000E+00,1.809E-01,2.415E-03,3.313E-02,5.630E-02,2.057E-01
519,0.000E+00,1.829E-01,2.341E-03,3.446E-02,5.191E-02,2.115E-01
520,0.000E+00,1.841E-01,2.280E-03,3.579E-02,4.788E-02,2.171E-01
521,0.000E+00,1.846E-01,2.232E-03,3.713E-02,4.421E-02,2.225E-01
522,0.000E+00,1.843E-01,2.195E-03,3.848E-02,4.087E-02,2.276E-01
523,0.000E+00,1.833E-01,2.167E-03,3.982E-02,3.782E-02,2.326E-01
524,0.000E+00,1.816E-01,2.146E-03,4.117E-02,3.503E-02,2.372E-01
525,0.000E+00,1.791E-01,2.130E-03,4.251E-02,3.246E-02,2.416E-01
526,0.000E+00,1.759E-01,2.117E-03,4.385E-02,3.005E-02,2.457E-01
527,0.000E+00,1.720E-01,2.106E-03,4.518E-02,2.783E-02,2.495E-01
528,0.000E+00,1.677E-01,2.094E-03,4.650E-02,2.578E-02,2.530E-01
529,0.000E+00,1.628E-01,2.077E-03,4.779E-02,2.388E-02,2.561E-01
530,0.000E+00,1.575E-01,2.046E-03,4.906E-02,2.209E-02,2.589E-01
531,0.000E+00,1.518E-01,2.014E-03,5.030E-02,2.044E-02,2.614E-01
532,0.000E+00,1.459E-01,1.982E-03,5.153E-02,1.891E-02,2.636E-01
533,0.000E+00,1.398E-01,1.956E-03,5.274E-02,1.749E-02,2.655E-01
534,0.000E+00,1.336E-01,1.944E-03,5.393E-02,1.617E-02,2.671E-01
535,0.000E+00,1.273E-01,1.936E-03,5.510E-02,1.496E-02,2.683E-01
536,0.000E+00,1.211E-01,1.931E-03,5.627E-02,1.384E-02,2.693E-01
537,0.000E+00,1.149E-01,1.924E-03,5.744E-02,1.280E-02,2.701E-01
538,0.000E+00,1.089E-01,1.912E-03,5.859E-02,1.184E-02,2.705E-01
539,0.000E+00,1.030E-01,1.898E-03,5.975E-02,1.095E-02,2.708E-01
540,0.000E+00,9.729E-02,1.884E-03,6.093E-02,1.013E-02,2.709E-01
541,0.000E+00,9.176E-02,1.868E-03,6.212E-02,9.374E-03,2.708E-01
542,0.000E+00,8.645E-02,1.848E-03,6.331E-02,8.676E-03,2.705E-01
543,0.000E+00,8.135E-02,1.830E-03,6.455E-02,8.038E-03,2.702E-01
544,0.000E+00,7.650E-02,1.814E-03,6.585E-02,7.457E-03,2.698E-01
545,0.000E+00,7.192E-02,1.804E-03,6.721E-02,6.933E-03,2.695E-01
546,0.000E+00,6.770E-02,1.813E-03,6.870E-02,6.481E-03,2.694E-01
547,0.000E+00,6.374E-02,1.824E-03,7.027E-02,6.071E-03,2.694E-01
548,0.000E+00,6.000E-02,1.831E-03,7.192E-02,5.694E-03,2.694E-01
549,0.000E+00,5.648E-02,1.831E-03,7.363E-02,5.337E-03,2.694E-01
550,0.000E+00,5.311E-02,1.797E-03,7.540E-02,4.953E-03,2.695E-01
551,0.000E+00,4.993E-02,1.758E-03,7.724E-02,4.588E-03,2.695E-01
552,0.000E+00,4.691E-02,1.718E-03,7.916E-02,4.246E-03,2.695E-01
553,0.000E+00,4.404E-02,1.682E-03,8.114E-02,3.933E-03,2.694E-01
554,0.000E+00,4.130E-02,1.671E-03,8.322E-02,3.680E-03,2.693E-01
555,0.000E+00,3.870E-02,1.667E-03,8.536E-02,3.456E-03,2.691E-01
556,0.000E+00,3.623E-02,1.669E-03,8.757E-02,3.256E-03,2.687E-01
557,0.000E+00,3.390E-02,1.674E-03,8.984E-02,3.075E-03,2.683E-01
558,0.000E+00,3.168E-02,1.685E-03,9.213E-02,2.904E-03,2.676E-01
559,0.000E+00,2.958E-02,1.695E-03,9.448E-02,2.743E-03,2.668E-01
560,0.000E+00,2.760E-02,1.700E-03,9.689E-02,2.590E-03,2.658E-01
561,0.000E+00,2.574E-02,1.698E-03,9.937E-02,2.442E-03,2.647E-01
562,0.000E+00,2.401E-02,1.665E-03,1.019E-01,2.277E-03,2.635E-01
563,0.000E+00,2.239E-02,1.625E-03,1.046E-01,2.117E-03,2.622E-01
564,0.000E+00,2.088E-02,1.585E-03,1.073E-01,1.968E-03,2.609E-01
565,0.000E+00,1.948E-02,1.550E-03,1.101E-01,1.833E-03,2.595E-01
566,0.000E+00,1.820E-02,1.537E-03,1.130E-01,1.737E-03,2.581E-01
567,4.129E-05,1.701E-02,1.534E-03,1.161E-01,1.656E-03,2.567E-01
568,1.210E-04,1.590E-02,1.539E-03,1.192E-01,1.588E-03,2.554E-01
569,2.155E-04,1.487E-02,1.552E-03,1.224E-01,1.527E-03,2.540E-01
570,3.267E-04,1.388E-02,1.590E-03,1.258E-01,1.464E-03,2.527E-01
571,4.484E-04,1.295E-02,1.630E-03,1.292E-01,1.404E-03,2.514E-01
